k2.mp3
-48.00	0.00	25
76.089996	78.000000	191
125.040001	126.010002	97
36.570000	37.509998	94
50.049999	50.990002	94
110.150002	111.019997	87
80.139999	81.000000	86
102.709999	103.519997	81
65.250000	66.010002	76
119.239998	120.000000	76
12.850000	13.500000	65
126.900002	127.500000	60
117.940002	118.510002	57
114.959999	115.510002	55
27.950001	28.490000	54
74.440002	74.989998	54
30.980000	31.500000	52
83.480003	84.000000	52
3.990000	4.490000	50
73.029999	73.500000	47
82.050003	82.519997	47
25.049999	25.490000	44
55.090000	55.509998	42
67.080002	67.500000	42
89.599998	90.010002	41
53.650002	54.020000	37
34.110001	34.480000	36
70.160004	70.500000	34
91.160004	91.500000	34
40.150002	40.480000	32
17.680000	17.990000	30
26.719999	27.010000	29
104.720001	105.010002	29
44.720001	45.000000	28
